,bathrooms,bedrooms,fee,has_photo,pets_allowed,square_feet,latitude,longitude,log_price,amenity_segment
106,1.0,2.0,No,Thumbnail,Both,1070,33.9136,-118.3527,7.696667081526462,Low_Amenity
110,2.0,4.0,No,Thumbnail,Both,2598,33.3526,-112.1976,7.346010209913293,Low_Amenity
111,2.0,4.0,No,Thumbnail,Both,2200,33.6471,-84.0154,7.170119543449628,Low_Amenity
114,1.0,1.0,No,Thumbnail,Both,625,30.4601,-84.2714,6.856461984594587,Family_Oriented
115,1.0,1.0,No,Thumbnail,Both,832,35.6757,-97.4949,6.79346613258001,Basic_Parking
116,2.0,2.0,No,Thumbnail,Both,1140,42.4869,-92.3426,7.244941546337007,Basic_Parking
117,1.0,2.0,No,Thumbnail,Both,338,29.6533,-82.3656,7.057036981697891,Family_Oriented
120,2.0,3.0,No,Thumbnail,Both,1698,32.5285,-97.3119,7.330405211844402,Low_Amenity
122,3.0,4.0,No,Thumbnail,Both,3740,32.9749,-112.0905,7.495541943884256,Low_Amenity
123,1.0,1.0,No,Thumbnail,Both,701,32.2264,-110.9438,6.803505257608338,Lifestyle_Recreation
126,1.0,1.0,No,Thumbnail,Both,770,39.1679,-84.4933,6.7464121285733745,Family_Oriented
127,1.0,2.0,No,Thumbnail,Both,740,38.9163,-94.3719,6.573680166960646,Basic_Parking
128,1.0,2.0,No,Thumbnail,Cats,500,40.4146,-104.7321,6.933423025730715,Basic_Parking
130,1.0,1.0,No,Thumbnail,Both,727,33.7848,-84.3922,7.415175109613295,Family_Oriented
131,1.0,1.0,No,Thumbnail,Both,585,37.5444,-121.982,7.601402334583733,Family_Oriented
132,1.0,1.0,No,Thumbnail,Both,738,28.0076,-82.4792,7.408530566894626,Basic_Parking
133,1.0,1.0,No,Thumbnail,Both,675,34.1334,-117.292,7.204892510204673,Lifestyle_Recreation
134,1.0,1.0,No,Thumbnail,Cats,490,47.5988,-122.1507,7.317212408359839,Basic_Parking
135,1.0,1.0,No,Thumbnail,Both,720,47.7631,-122.2901,7.362645270417825,Lifestyle_Recreation
136,1.0,1.0,No,Thumbnail,Both,700,47.3851,-122.1882,7.27655640271871,Family_Oriented
137,2.0,2.0,No,Thumbnail,Both,973,47.3071,-122.3404,7.273092595999522,Family_Oriented
138,1.0,1.0,No,Thumbnail,Both,780,28.0076,-82.4792,7.057897937411856,Family_Oriented
139,1.0,1.0,No,Thumbnail,Both,825,41.6505,-70.9367,7.310550158534422,Family_Oriented
140,1.0,2.0,No,Thumbnail,Both,720,39.3191,-76.6126,6.853299093186078,Low_Amenity
142,1.0,2.0,No,Thumbnail,Both,650,39.0744,-94.5521,6.85751406254539,Basic_Parking
143,1.0,1.0,No,Thumbnail,Both,539,29.7714,-95.4343,6.284134161070802,Lifestyle_Recreation
145,1.0,1.0,No,Thumbnail,Both,939,29.7714,-95.4343,7.5443321080536885,Basic_Parking
146,1.0,1.0,No,Thumbnail,Both,580,29.7714,-95.4343,7.048386408721883,Lifestyle_Recreation
178,1.0,1.0,No,Thumbnail,Both,724,30.3054,-97.7497,7.824445930877619,Basic_Parking
179,1.0,1.0,No,Thumbnail,Both,835,30.3054,-97.7497,7.68937110752969,Basic_Parking
187,2.0,2.0,No,Thumbnail,Both,1070,41.8625,-87.6825,7.576097340623111,Low_Amenity
188,1.0,1.0,No,Thumbnail,Both,794,42.3882,-83.1122,8.003363058629947,Basic_Parking
190,1.0,2.0,No,Thumbnail,Both,816,33.8056,-118.1696,7.694392802629421,Low_Amenity
192,1.0,1.0,No,Thumbnail,Both,661,42.3882,-83.1122,8.003363058629947,Basic_Parking
195,1.0,1.0,No,Thumbnail,Cats,500,41.8625,-87.6825,7.241366283322318,Basic_Parking
196,1.0,1.0,No,Thumbnail,Both,332,37.7599,-122.4379,7.738923757439457,Low_Amenity
197,2.0,3.0,No,Thumbnail,Both,1200,34.0505,-81.0098,7.090076835776092,Low_Amenity
198,1.0,1.0,No,Thumbnail,Both,656,43.609,-116.3988,6.472346294500901,Basic_Parking
201,1.0,1.0,No,Thumbnail,Both,530,41.5486,-90.5922,6.46302945692067,Basic_Parking
202,1.0,1.0,No,Thumbnail,Both,862,41.824,-71.4315,7.471363088187097,Basic_Parking
206,1.0,1.0,No,Thumbnail,Both,664,41.665,-86.1592,7.074116816197362,Family_Oriented
207,1.0,2.0,No,Thumbnail,Both,551,44.0346,-92.468,6.803505257608338,Family_Oriented
209,3.0,3.0,No,Thumbnail,Both,1470,40.4969,-86.9659,6.8679744089702925,Low_Amenity
212,2.0,3.0,No,Thumbnail,Both,1358,33.5944,-112.1837,7.170119543449628,Low_Amenity
213,1.0,2.0,No,Thumbnail,Both,499,33.8056,-118.1696,7.397561535524052,Basic_Parking
214,1.0,1.0,No,Thumbnail,Both,740,33.6047,-112.2456,6.928537818164665,Basic_Parking
215,1.0,1.0,No,Thumbnail,Both,676,39.985,-83.0728,7.026426808699636,Family_Oriented
216,1.0,1.0,No,Thumbnail,Both,866,35.8269,-78.8335,7.10002716662926,Family_Oriented
219,2.0,3.0,No,Thumbnail,Both,1382,38.9163,-94.3719,7.313886831633462,Basic_Parking
220,1.0,2.0,No,Thumbnail,Both,1125,39.7953,-86.1387,6.851184927493743,Family_Oriented
222,2.0,2.0,No,Thumbnail,Both,912,35.753,-86.8832,6.912742820493176,Lifestyle_Recreation
223,1.0,1.0,No,Thumbnail,Both,648,37.7599,-122.4379,8.241703159729818,Basic_Parking
224,1.0,1.0,No,Thumbnail,Both,732,47.5988,-122.1507,7.53689712956617,Family_Oriented
225,1.0,2.0,No,Thumbnail,Both,579,32.8212,-96.7853,6.957497370876951,Lifestyle_Recreation
226,2.0,3.0,No,Thumbnail,Both,1665,35.2016,-80.8124,7.313220387090301,Lifestyle_Recreation
228,1.0,1.0,No,Thumbnail,Both,717,38.5855,-90.5365,6.674561391814426,Family_Oriented
230,1.0,1.0,No,Thumbnail,Both,678,29.7714,-95.4343,7.01211529430638,Family_Oriented
240,1.0,2.0,No,Thumbnail,Both,1215,38.6274,-90.304,7.280008252884188,Basic_Parking
255,1.0,1.0,No,Thumbnail,Both,820,32.833,-83.6723,6.773080375655535,Basic_Parking
271,1.0,1.0,No,Thumbnail,Both,671,30.3054,-97.7497,7.609862200913554,Basic_Parking
281,1.0,1.0,No,Thumbnail,Both,700,38.5587,-121.432,7.155396301896734,Low_Amenity
286,1.0,1.0,No,Thumbnail,Both,677,30.3054,-97.7497,6.803505257608338,Lifestyle_Recreation
287,1.0,1.0,No,Thumbnail,Both,625,30.4433,-97.6282,6.862757913051401,Basic_Parking
289,1.0,1.0,No,Thumbnail,Both,642,30.3054,-97.7497,7.026426808699636,Lifestyle_Recreation
292,1.0,1.0,No,Thumbnail,Both,600,42.3882,-83.1122,7.878912912297133,Basic_Parking
294,2.0,2.0,No,Thumbnail,Cats,900,41.8625,-87.6825,7.596392304064196,Family_Oriented
295,2.0,3.0,No,Thumbnail,Both,1713,33.5944,-112.1837,7.24422751560335,Family_Oriented
297,1.0,1.0,No,Thumbnail,Both,653,30.0021,-95.2555,6.697034247666484,Family_Oriented
298,2.0,4.0,No,Thumbnail,Both,1633,34.0656,-84.6658,7.24422751560335,Low_Amenity
299,1.0,1.0,No,Thumbnail,Both,940,39.6894,-105.1119,7.306531398939505,Family_Oriented
300,1.0,1.0,No,Thumbnail,Both,730,41.2562,-96.0404,6.53813982376767,Family_Oriented
301,1.0,1.0,No,Thumbnail,Both,752,30.245,-90.9169,6.843749949006225,Family_Oriented
302,1.0,1.0,No,Thumbnail,Both,750,30.4415,-91.1012,6.608000625296087,Family_Oriented
303,2.0,2.0,No,Thumbnail,Both,900,26.1596,-97.989,6.338594078203183,Family_Oriented
304,1.0,1.0,No,Thumbnail,Both,826,28.6658,-81.3932,6.917705609835305,Family_Oriented
306,1.0,2.0,No,Thumbnail,Both,748,41.5927,-93.6276,6.55250788703459,Family_Oriented
309,1.0,1.0,No,Thumbnail,Both,273,39.1471,-86.5136,6.7464121285733745,Basic_Parking
310,1.0,1.0,No,Thumbnail,Both,600,39.1471,-86.5136,6.587550014824796,Basic_Parking
311,1.0,3.0,No,Thumbnail,Both,500,35.6066,-77.3928,6.68586094706836,Family_Oriented
312,1.0,1.0,No,Thumbnail,Both,660,32.4418,-99.7494,6.398594934535208,Family_Oriented
313,1.0,1.0,No,Thumbnail,Both,375,42.8224,-89.0658,5.958424693029782,Basic_Parking
314,2.0,2.0,No,Thumbnail,Both,1067,44.7897,-89.6859,6.7464121285733745,Low_Amenity
316,1.0,2.0,No,Thumbnail,Both,550,40.3613,-86.9005,6.621405651764134,Family_Oriented
318,2.0,4.0,No,Thumbnail,Both,1868,35.687,-78.6082,7.330405211844402,Family_Oriented
320,1.0,2.0,No,Thumbnail,Both,530,45.0201,-93.4623,7.1276936993473985,Family_Oriented
321,1.0,1.0,No,Thumbnail,Both,800,44.8461,-93.1596,6.976348070447749,Family_Oriented
322,1.0,1.0,No,Thumbnail,Both,510,45.5091,-122.6449,7.280008252884188,Family_Oriented
323,1.0,1.0,No,Thumbnail,Both,624,45.6558,-122.5888,7.215975002651466,Basic_Parking
324,1.0,1.0,No,Thumbnail,Both,600,39.397,-84.5558,6.580639137284949,Family_Oriented
325,1.0,1.0,No,Thumbnail,Both,460,38.8562,-104.772,6.710523109452428,Lifestyle_Recreation
326,1.0,2.0,No,Thumbnail,Cats,350,42.7742,-71.0937,7.0909098220799835,Family_Oriented
327,1.0,1.0,No,Thumbnail,Both,606,61.1723,-149.8414,6.79794041297493,Low_Amenity
329,2.0,2.0,No,Thumbnail,Both,1025,61.1723,-149.8414,7.1316985104669115,Low_Amenity
330,1.0,2.0,No,Thumbnail,Both,913,47.2154,-122.4608,7.242797922793756,Family_Oriented
331,1.0,2.0,No,Thumbnail,Both,745,33.9481,-83.3788,6.93828448401696,Family_Oriented
332,1.0,1.0,No,Thumbnail,Both,384,41.8625,-87.6825,6.805722553416985,Low_Amenity
333,1.0,1.0,No,Thumbnail,Both,723,32.8212,-96.7853,7.10085190894405,Family_Oriented
334,1.0,2.0,No,Thumbnail,Both,410,38.7128,-77.1561,7.280008252884188,Basic_Parking
335,1.0,1.0,No,Thumbnail,Both,688,33.6194,-84.4886,6.844815479208263,Family_Oriented
336,1.0,1.0,No,Thumbnail,Both,432,37.7599,-122.4379,8.037866234709618,Low_Amenity
338,1.0,1.0,No,Thumbnail,Both,651,33.9569,-84.0214,6.942156705699469,Lifestyle_Recreation
339,1.0,3.0,No,Thumbnail,Both,520,32.4418,-99.7494,6.455198563340122,Family_Oriented
340,1.0,1.0,No,Thumbnail,Both,967,31.8666,-102.3901,7.424165281042028,Family_Oriented
341,1.0,2.0,No,Thumbnail,Both,481,39.736,-104.9819,7.338888133838879,Family_Oriented
342,1.0,1.0,No,Thumbnail,Both,651,38.7999,-77.1072,7.252053951852814,Family_Oriented
343,1.0,1.0,No,Thumbnail,Both,627,39.3191,-76.6126,6.848005274576363,Lifestyle_Recreation
344,1.0,1.0,No,Thumbnail,Both,617,33.5178,-112.0848,7.2196420401307355,Basic_Parking
354,1.0,1.0,No,Thumbnail,Cats,750,42.7445,-83.4085,6.621405651764134,Basic_Parking
355,1.0,1.0,No,Thumbnail,Both,800,34.1677,-118.6141,7.487733761436444,Basic_Parking
374,1.0,1.0,No,Thumbnail,Both,953,30.3054,-97.7497,7.618742377670413,Basic_Parking
385,2.0,2.0,No,Thumbnail,Both,1390,37.7599,-122.4379,8.476579508530941,Low_Amenity
386,1.0,2.0,No,Thumbnail,Dogs,1050,42.6427,-84.5281,6.803505257608338,Basic_Parking
389,1.0,1.0,No,Thumbnail,Cats,500,43.0724,-89.4003,6.85751406254539,Basic_Parking
390,1.0,1.0,No,Thumbnail,Both,700,42.9694,-87.8732,6.734591659972948,Family_Oriented
392,1.0,1.0,No,Thumbnail,Cats,920,40.4448,-79.9725,6.717804695023691,Low_Amenity
393,2.0,3.0,No,Thumbnail,Both,1904,29.9972,-95.6676,7.3777589082278725,Low_Amenity
394,1.0,1.0,No,Thumbnail,Both,914,37.7599,-122.4379,8.517393171418904,Low_Amenity
395,1.0,1.0,No,Thumbnail,Both,669,41.2562,-96.0404,6.775366090936392,Family_Oriented
396,2.0,2.0,No,Thumbnail,Both,901,26.2147,-98.3516,6.361302477572996,Family_Oriented
397,2.0,2.0,No,Thumbnail,Both,955,35.0673,-92.3808,6.478509642208569,Family_Oriented
401,1.0,3.0,No,Thumbnail,Both,470,39.1676,-86.5,6.311734809152915,Basic_Parking
404,2.0,2.0,No,Thumbnail,Both,837,37.1892,-93.2908,7.271703706887368,Family_Oriented
405,2.0,2.0,No,Thumbnail,Both,931,33.1932,-87.5349,7.257707677160043,Family_Oriented
407,1.0,1.0,No,Thumbnail,Both,560,46.8861,-96.9,6.111467339502679,Low_Amenity
410,1.0,2.0,No,Thumbnail,Both,815,40.8623,-84.5874,6.29156913955832,Basic_Parking
412,2.0,3.0,No,Thumbnail,Both,1728,39.7953,-86.1387,7.170119543449628,Low_Amenity
413,2.0,3.0,No,Thumbnail,Both,1835,33.81,-83.8894,7.330405211844402,Low_Amenity
414,1.0,2.0,No,Thumbnail,Both,867,32.2264,-110.9438,6.775366090936392,Basic_Parking
415,1.0,1.0,No,Thumbnail,Both,520,41.2562,-96.0404,6.630683385642372,Family_Oriented
417,1.0,1.0,No,Thumbnail,Both,592,32.7162,-97.0052,6.704414354964107,Family_Oriented
419,1.0,2.0,No,Thumbnail,Both,900,40.11,-83.1087,7.115582126184454,Family_Oriented
420,1.0,1.0,No,Thumbnail,Cats,806,40.4448,-79.9725,6.846943139585379,Family_Oriented
422,1.0,1.0,No,Thumbnail,Both,758,29.4624,-98.5253,6.5998704992128365,Family_Oriented
423,1.0,1.0,No,Thumbnail,Cats,637,38.9259,-94.6916,6.654152520183219,Family_Oriented
424,1.0,1.0,No,Thumbnail,Both,678,41.5964,-70.9532,7.244941546337007,Family_Oriented
425,1.0,1.0,No,Thumbnail,Both,630,38.8562,-104.772,7.142036574706803,Family_Oriented
426,1.0,1.0,No,Thumbnail,Both,644,32.8212,-96.7853,6.814542897259958,Basic_Parking
427,1.0,3.0,No,Thumbnail,Both,561,38.8738,-77.1055,7.5443321080536885,Family_Oriented
428,1.0,1.0,No,Thumbnail,Both,566,32.0057,-102.1036,6.933423025730715,Family_Oriented
429,1.0,1.0,No,Thumbnail,Both,519,38.9118,-77.0132,7.919356190660617,Family_Oriented
430,1.0,2.0,No,Thumbnail,Both,663,37.53,-77.477,7.212294468500341,Family_Oriented
434,1.0,3.0,No,Thumbnail,Both,977,41.8625,-87.6825,7.623153068476902,Basic_Parking
435,1.0,1.0,No,Thumbnail,Both,820,29.7714,-95.4343,7.182352111885263,Family_Oriented
436,1.0,0.0,No,Thumbnail,Both,525,29.7506,-95.4788,7.048386408721883,Family_Oriented
438,1.0,1.0,No,Thumbnail,Both,670,29.7714,-95.4343,6.993932975223189,Basic_Parking
439,1.0,1.0,No,Thumbnail,Both,759,29.7714,-95.4343,6.937314081223682,Lifestyle_Recreation
454,1.0,1.0,No,Thumbnail,Both,710,41.2318,-73.0586,7.493317248862145,Basic_Parking
481,1.0,1.0,No,Thumbnail,Both,900,34.1677,-118.6141,7.523481312573497,Basic_Parking
482,1.0,1.0,No,Thumbnail,Both,775,30.3054,-97.7497,6.946975992135418,Basic_Parking
483,1.0,1.0,No,Thumbnail,Both,857,37.7599,-122.4379,8.03947991910045,Low_Amenity
485,2.0,3.0,No,Thumbnail,Both,1445,32.5807,-97.138,7.3777589082278725,Low_Amenity
486,1.0,2.0,No,Thumbnail,Both,400,41.8625,-87.6825,7.1252830915107115,Basic_Parking
487,1.0,2.0,No,Thumbnail,Both,941,41.8625,-87.6825,7.470793774195062,Low_Amenity
489,1.0,1.0,No,Thumbnail,Both,536,39.1474,-77.2032,7.16703787691222,Family_Oriented
490,1.0,1.0,No,Thumbnail,Both,450,39.0744,-94.5521,6.647688373563329,Basic_Parking
491,1.0,2.0,No,Thumbnail,Both,900,45.4851,-122.8349,7.170888478512505,Family_Oriented
492,1.0,2.0,No,Thumbnail,Both,1035,41.2562,-96.0404,6.654152520183219,Basic_Parking
493,1.0,1.0,No,Thumbnail,Both,603,30.4415,-91.1012,7.0909098220799835,Family_Oriented
495,1.0,2.0,No,Thumbnail,Both,800,39.1471,-86.5136,6.90875477931522,Basic_Parking
496,1.0,1.0,No,Thumbnail,Both,500,42.5286,-92.4509,6.398594934535208,Basic_Parking
497,1.0,2.0,No,Thumbnail,Both,456,37.0835,-113.5823,6.716594773520978,Family_Oriented
498,1.0,1.0,No,Thumbnail,Both,750,30.4601,-84.2714,6.53813982376767,Family_Oriented
500,2.0,2.0,No,Thumbnail,Both,895,39.9925,-85.7729,7.090076835776092,Family_Oriented
501,2.0,4.0,No,Thumbnail,Both,2012,33.9531,-81.2381,7.313220387090301,Low_Amenity
502,1.0,1.0,No,Thumbnail,Cats,960,43.0152,-89.4529,7.1592919047975645,Basic_Parking
503,1.0,3.0,No,Thumbnail,Both,1022,45.2764,-92.9901,7.199678345691172,Basic_Parking
504,1.0,2.0,No,Thumbnail,Both,536,44.8338,-93.3197,7.1631723908466425,Family_Oriented
506,1.0,1.0,No,Thumbnail,Both,533,45.5091,-122.6449,7.16703787691222,Family_Oriented
507,1.0,1.0,No,Thumbnail,Both,833,45.6037,-122.6756,7.27655640271871,Family_Oriented
508,1.0,1.0,No,Thumbnail,Cats,720,38.9259,-94.6916,6.673297967767654,Family_Oriented
509,1.0,1.0,No,Thumbnail,Both,797,39.7953,-86.1387,6.8885724595653635,Family_Oriented
510,1.0,1.0,No,Thumbnail,Both,665,38.0269,-84.4223,6.699500340161678,Family_Oriented
511,1.0,1.0,No,Thumbnail,Both,705,38.0172,-84.4931,6.659293919683638,Family_Oriented
512,1.0,1.0,No,Thumbnail,Both,620,34.2057,-77.8894,6.660575149839686,Lifestyle_Recreation
513,1.0,1.0,No,Thumbnail,Both,540,28.5163,-81.3644,7.003065458786462,Basic_Parking
520,1.0,2.0,No,Thumbnail,Both,622,42.4194,-71.111,7.671360923190644,Lifestyle_Recreation
521,1.0,1.0,No,Thumbnail,Both,820,32.8427,-96.9607,7.223295679562314,Lifestyle_Recreation
522,1.0,2.0,No,Thumbnail,Both,489,32.8212,-96.7853,6.967909201801884,Basic_Parking
523,1.0,1.0,No,Thumbnail,Both,685,34.0372,-118.2972,7.81035268372429,Family_Oriented
524,2.0,4.0,No,Thumbnail,Both,1600,33.9531,-81.2381,7.1308988302963465,Low_Amenity
525,2.0,4.0,No,Thumbnail,Both,1962,32.5252,-96.8173,7.549609165154532,Low_Amenity
526,1.0,2.0,No,Thumbnail,Cats,975,41.8625,-87.6825,7.621195162809845,Family_Oriented
528,1.0,1.0,No,Thumbnail,Cats,1003,29.7714,-95.4343,6.966967138613983,Higher_Amenities
529,1.0,1.0,No,Thumbnail,Both,643,29.7714,-95.4343,7.140453043101158,Basic_Parking
530,1.0,1.0,No,Thumbnail,Both,675,29.7714,-95.4343,6.838405200847344,Basic_Parking
554,1.0,1.0,No,Thumbnail,Both,789,34.0372,-118.2972,7.736743682453495,Low_Amenity
567,1.0,1.0,No,Thumbnail,Both,819,30.3054,-97.7497,7.459338895220296,Basic_Parking
581,2.0,2.0,No,Thumbnail,Both,1300,34.0948,-118.3699,8.698847859222488,Basic_Parking
584,2.0,4.0,No,Thumbnail,Both,2083,39.736,-104.9819,8.131824785007195,Basic_Parking
590,1.0,1.0,No,Thumbnail,Both,476,32.8212,-96.7853,6.740519359606223,Basic_Parking
591,1.0,0.0,No,Thumbnail,Both,341,33.3898,-111.9272,7.123672785204607,Family_Oriented
592,1.0,1.0,No,Thumbnail,Both,687,44.9405,-93.1027,7.293697720601438,Basic_Parking
593,2.0,3.0,No,Thumbnail,Both,1192,29.7714,-95.4343,7.2078598714324755,Low_Amenity
594,2.0,3.0,No,Thumbnail,Both,1224,34.1216,-84.515,7.170119543449628,Low_Amenity
596,1.0,1.0,No,Thumbnail,Both,450,39.0744,-94.5521,6.642486801367256,Basic_Parking
597,1.0,2.0,No,Thumbnail,Both,900,39.0744,-94.5521,6.654152520183219,Basic_Parking
598,1.0,1.0,No,Thumbnail,Both,615,39.1103,-94.702,6.3561076606958915,Basic_Parking
599,1.0,1.0,No,Thumbnail,Both,502,45.5091,-122.6449,7.151485463904735,Family_Oriented
603,1.0,1.0,No,Thumbnail,Both,650,39.1679,-84.4933,6.7464121285733745,Basic_Parking
605,1.0,1.0,No,Thumbnail,Both,727,42.9112,-78.8171,6.679599185844383,Basic_Parking
606,1.0,1.0,No,Thumbnail,Both,800,39.1471,-86.5136,6.55250788703459,Family_Oriented
607,1.0,3.0,No,Thumbnail,Both,487,37.1892,-93.2908,6.423246963533519,Family_Oriented
608,1.0,3.0,No,Thumbnail,Both,500,37.1892,-93.2908,6.320768294250582,Family_Oriented
609,1.0,1.0,No,Thumbnail,Both,550,37.1892,-93.2908,6.364750756851911,Family_Oriented
610,1.0,1.0,No,Thumbnail,Both,672,39.5197,-119.8342,6.846943139585379,Family_Oriented
612,1.0,1.0,No,Thumbnail,Both,704,37.9906,-87.5563,6.593044534142437,Family_Oriented
613,1.0,1.0,No,Thumbnail,Both,544,40.8062,-96.6778,6.626717749249025,Family_Oriented
614,1.0,1.0,No,Thumbnail,Both,837,40.8062,-96.6778,6.7464121285733745,Family_Oriented
615,1.0,1.0,No,Thumbnail,Cats,507,33.5859,-101.8698,6.71295620067707,Family_Oriented
616,1.0,1.0,No,Thumbnail,Both,956,43.5329,-96.7265,6.698268054115413,Family_Oriented
617,1.0,2.0,No,Thumbnail,Both,600,40.1171,-88.1889,6.569481420414296,Low_Amenity
618,1.0,2.0,No,Thumbnail,Both,1072,44.2745,-88.4153,6.805722553416985,Basic_Parking
621,1.0,2.0,No,Thumbnail,Both,900,40.3613,-86.9005,6.769641976852503,Family_Oriented
622,1.0,1.0,No,Thumbnail,Both,749,41.6776,-85.9695,6.883462586413092,Family_Oriented
623,2.0,2.0,No,Thumbnail,Both,1099,39.179,-78.1591,7.186144304522325,Lifestyle_Recreation
624,1.0,4.0,No,Thumbnail,Both,1400,39.1984,-96.6052,7.00397413672268,Basic_Parking
625,1.0,1.0,No,Thumbnail,Both,784,35.4047,-80.6098,6.97914527506881,Family_Oriented
626,1.0,1.0,No,Thumbnail,Both,680,36.1554,-115.1733,6.803505257608338,Family_Oriented
627,1.0,1.0,No,Thumbnail,Both,757,33.5137,-86.7893,7.0925737159746784,Family_Oriented
628,1.0,1.0,No,Thumbnail,Both,801,36.0341,-95.7854,6.7226297948554485,Lifestyle_Recreation
631,2.0,2.0,No,Thumbnail,Both,979,44.9855,-93.3023,7.531552381407289,Basic_Parking
632,1.0,0.0,No,Thumbnail,Both,445,45.5091,-122.6449,7.16703787691222,Family_Oriented
633,1.0,2.0,No,Thumbnail,Both,422,39.064,-94.5815,6.692083742506628,Basic_Parking
635,1.0,1.0,No,Thumbnail,Both,660,35.1211,-89.9517,6.423246963533519,Family_Oriented
636,1.0,2.0,No,Thumbnail,Both,871,35.471,-97.5299,6.647688373563329,Family_Oriented
637,1.0,2.0,No,Thumbnail,Both,488,40.7061,-111.9048,7.078341579557671,Family_Oriented
638,2.0,2.0,No,Thumbnail,Both,1200,35.081,-85.2968,7.078341579557671,Family_Oriented
639,1.0,1.0,No,Thumbnail,Both,250,38.2006,-84.9469,6.214608098422191,Basic_Parking
640,1.0,2.0,No,Thumbnail,Both,833,39.5235,-119.8016,7.170888478512505,Basic_Parking
641,1.0,1.0,No,Thumbnail,Both,715,41.8729,-70.6414,7.4821189235521155,Family_Oriented
644,1.0,1.0,No,Thumbnail,Both,689,29.7864,-94.9631,7.138073034044347,Basic_Parking
645,1.0,2.0,No,Thumbnail,Both,611,33.8007,-84.4083,6.993932975223189,Lifestyle_Recreation
646,1.0,1.0,No,Thumbnail,Both,701,37.7547,-121.9529,7.601402334583733,Family_Oriented
647,1.0,1.0,No,Thumbnail,Both,685,47.616,-122.3275,7.459338895220296,Low_Amenity
648,2.0,2.0,No,Thumbnail,Both,1057,47.7974,-122.2037,7.269616749608169,Family_Oriented
649,1.0,1.0,No,Thumbnail,Both,638,32.0057,-102.1036,7.030857476116121,Higher_Amenities
650,1.0,1.0,No,Thumbnail,Cats,629,42.331,-71.0434,7.899524472032198,Family_Oriented
651,1.0,1.0,No,Thumbnail,Both,802,39.736,-104.9819,7.4127640174265625,Basic_Parking
653,1.0,1.0,No,Thumbnail,Both,752,33.5178,-112.0848,7.01301578963963,Basic_Parking
654,1.0,1.0,No,Thumbnail,Both,621,33.5178,-112.0848,6.803505257608338,Basic_Parking
656,2.0,4.0,No,Thumbnail,Both,1980,39.7953,-86.1387,7.330405211844402,Low_Amenity
657,2.0,3.0,No,Thumbnail,Both,1364,32.5285,-97.3119,7.27931883541462,Low_Amenity
