bathrooms,bedrooms,fee,has_photo,pets_allowed,price,square_feet,state,latitude,longitude,amenity_segment,log_price
1.0,1.0,No,Thumbnail,,884.0,622,TX,29.4624,-98.5253,Low_Amenity,6.785587645007929
1.0,2.0,No,Thumbnail,Both,1050.0,579,TX,32.8212,-96.7853,Lifestyle_Recreation,6.957497370876951
1.0,1.0,No,Thumbnail,Cats,1417.0,840,TX,29.7714,-95.4343,Low_Amenity,7.257002707092073
1.0,1.0,No,Thumbnail,Both,1109.0,678,TX,29.7714,-95.4343,Family_Oriented,7.01211529430638
1.0,0.0,No,Thumbnail,Both,850.0,400,TX,29.7714,-95.4343,Low_Amenity,6.7464121285733745
1.0,1.0,No,Thumbnail,,989.0,791,TX,30.3054,-97.7497,Basic_Parking,6.897704943128636
1.0,1.0,No,Thumbnail,,1195.0,650,TX,30.3054,-97.7497,Basic_Parking,7.086737934510577
1.0,1.0,No,Thumbnail,,1600.0,877,TX,30.3054,-97.7497,Higher_Amenities,7.3783837129967145
1.0,1.0,No,Thumbnail,,1035.0,766,TX,30.3054,-97.7497,Lifestyle_Recreation,6.943122422819428
1.0,1.0,No,Thumbnail,,972.0,892,TX,30.5118,-97.6873,Low_Amenity,6.880384082186005
1.0,1.0,No,Thumbnail,,1027.0,677,TX,30.3054,-97.7497,Basic_Parking,6.93537044601511
1.0,1.0,No,Thumbnail,,1035.0,660,TX,30.5104,-97.9027,Low_Amenity,6.943122422819428
1.0,1.0,No,Thumbnail,Both,2017.0,671,TX,30.3054,-97.7497,Basic_Parking,7.609862200913554
1.0,2.0,No,Thumbnail,,800.0,430,TX,30.3054,-97.7497,Basic_Parking,6.68586094706836
1.0,2.0,No,Thumbnail,,897.0,450,TX,30.3054,-97.7497,Basic_Parking,6.8001700683022
2.5,2.0,No,Thumbnail,,1739.0,1438,TX,30.4433,-97.6282,Low_Amenity,7.461640392208575
1.0,2.0,No,Thumbnail,Both,1250.0,552,TX,29.4624,-98.5253,Low_Amenity,7.1316985104669115
1.0,1.0,No,Thumbnail,Both,795.0,737,TX,29.4624,-98.5253,Low_Amenity,6.679599185844383
1.0,1.0,No,Thumbnail,Both,1730.0,606,TX,32.8212,-96.7853,Low_Amenity,7.456454555176209
1.0,1.0,No,Thumbnail,Both,900.0,677,TX,30.3054,-97.7497,Lifestyle_Recreation,6.803505257608338
1.0,1.0,No,Thumbnail,Both,955.0,625,TX,30.4433,-97.6282,Basic_Parking,6.862757913051401
1.0,1.0,No,Thumbnail,Both,1125.0,642,TX,30.3054,-97.7497,Lifestyle_Recreation,7.026426808699636
1.0,1.0,No,Thumbnail,Both,809.0,653,TX,30.0021,-95.2555,Family_Oriented,6.697034247666484
2.0,2.0,No,Thumbnail,Both,565.0,900,TX,26.1596,-97.989,Family_Oriented,6.338594078203183
1.0,1.0,No,Thumbnail,Both,600.0,660,TX,32.4418,-99.7494,Family_Oriented,6.398594934535208
1.0,1.0,No,Thumbnail,Both,1212.0,723,TX,32.8212,-96.7853,Family_Oriented,7.10085190894405
1.0,3.0,No,Thumbnail,Both,635.0,520,TX,32.4418,-99.7494,Family_Oriented,6.455198563340122
1.0,1.0,No,Thumbnail,Both,1675.0,967,TX,31.8666,-102.3901,Family_Oriented,7.424165281042028
1.0,1.0,No,Thumbnail,,1012.0,646,TX,29.4624,-98.5253,Low_Amenity,6.920671504248683
1.0,1.0,No,Thumbnail,,959.0,774,TX,29.4602,-98.6876,Higher_Amenities,6.866933284461882
1.0,1.0,No,Thumbnail,,1192.0,593,TX,29.7714,-95.4343,Low_Amenity,7.084226422097916
1.5,2.0,No,Thumbnail,,1100.0,812,TX,30.3054,-97.7497,Low_Amenity,7.00397413672268
1.0,1.0,No,Thumbnail,Both,1210.0,1166,TX,30.5797,-98.2721,Low_Amenity,7.099201743553092
1.0,1.0,No,Thumbnail,,1290.0,559,TX,30.3054,-97.7497,Lifestyle_Recreation,7.1631723908466425
1.0,1.0,No,Thumbnail,,1786.0,650,TX,30.3054,-97.7497,Basic_Parking,7.488293515159428
1.0,1.0,No,Thumbnail,,1200.0,640,TX,30.3054,-97.7497,Basic_Parking,7.0909098220799835
1.0,1.0,No,Thumbnail,,915.0,696,TX,30.3054,-97.7497,Basic_Parking,6.82001636467413
1.0,2.0,No,Thumbnail,,1258.0,531,TX,30.3054,-97.7497,Low_Amenity,7.138073034044347
1.0,1.0,No,Thumbnail,Both,2035.0,953,TX,30.3054,-97.7497,Basic_Parking,7.618742377670413
1.0,3.0,No,Thumbnail,,1041.0,450,TX,30.3054,-97.7497,Low_Amenity,6.948897222313312
1.0,1.0,No,Thumbnail,,1740.0,931,TX,30.3054,-97.7497,Low_Amenity,7.462214939768189
1.0,1.0,No,Thumbnail,,1231.0,652,TX,30.4973,-97.8276,Low_Amenity,7.116394144093465
1.0,1.0,No,Thumbnail,Both,1789.0,678,TX,32.8212,-96.7853,Low_Amenity,7.489970898834801
1.0,1.0,No,Thumbnail,,1002.0,878,TX,30.5118,-97.6873,Low_Amenity,6.910750787961936
3.5,5.0,No,Thumbnail,Both,2395.0,4614,TX,29.7714,-95.4343,Low_Amenity,7.78155595923534
1.0,1.0,No,Thumbnail,Cats,1950.0,1055,TX,32.8212,-96.7853,Low_Amenity,7.576097340623111
2.0,3.0,No,Thumbnail,Both,1599.0,1904,TX,29.9972,-95.6676,Low_Amenity,7.3777589082278725
2.0,2.0,No,Thumbnail,Both,578.0,901,TX,26.2147,-98.3516,Family_Oriented,6.361302477572996
1.0,1.0,No,Thumbnail,,975.0,528,TX,29.4624,-98.5253,Low_Amenity,6.883462586413092
1.0,1.0,No,Thumbnail,Both,815.0,592,TX,32.7162,-97.0052,Family_Oriented,6.704414354964107
1.0,1.0,No,Thumbnail,Both,734.0,758,TX,29.4624,-98.5253,Family_Oriented,6.5998704992128365
1.0,1.0,No,Thumbnail,Both,910.0,644,TX,32.8212,-96.7853,Basic_Parking,6.814542897259958
1.0,1.0,No,Thumbnail,Both,1025.0,566,TX,32.0057,-102.1036,Family_Oriented,6.933423025730715
1.0,1.0,No,Thumbnail,,1152.0,861,TX,29.4624,-98.5253,Low_Amenity,7.050122520269059
1.0,1.0,No,Thumbnail,Both,1315.0,820,TX,29.7714,-95.4343,Family_Oriented,7.182352111885263
1.0,0.0,No,Thumbnail,Both,1150.0,525,TX,29.7506,-95.4788,Family_Oriented,7.048386408721883
1.0,1.0,No,Thumbnail,Cats,950.0,826,TX,29.7714,-95.4343,Low_Amenity,6.85751406254539
1.0,1.0,No,Thumbnail,Both,1089.0,670,TX,29.7714,-95.4343,Basic_Parking,6.993932975223189
1.0,1.0,No,Thumbnail,Both,1029.0,759,TX,29.7714,-95.4343,Lifestyle_Recreation,6.937314081223682
1.0,0.0,No,Thumbnail,Dogs,925.0,400,TX,30.3054,-97.7497,Low_Amenity,6.8308742346461795
1.0,1.0,No,Thumbnail,,1095.0,644,TX,30.3054,-97.7497,Basic_Parking,6.999422467507961
2.0,3.0,No,Thumbnail,Both,1399.0,1372,TX,33.56,-101.8904,Low_Amenity,7.24422751560335
1.0,1.0,No,Thumbnail,,1125.0,600,TX,30.3054,-97.7497,Low_Amenity,7.026426808699636
1.0,1.0,No,Thumbnail,,1185.0,686,TX,30.3054,-97.7497,Lifestyle_Recreation,7.078341579557671
1.0,1.0,No,Thumbnail,,890.0,550,TX,30.3054,-97.7497,Lifestyle_Recreation,6.792344427470809
1.0,1.0,No,Thumbnail,,1126.0,582,TX,30.3054,-97.7497,Lifestyle_Recreation,7.027314514039777
1.0,1.0,No,Thumbnail,,1080.0,647,TX,30.3054,-97.7497,Basic_Parking,6.985641817639208
1.0,1.0,No,Thumbnail,,1060.0,693,TX,30.3054,-97.7497,Lifestyle_Recreation,6.966967138613983
1.0,1.0,No,Thumbnail,,1100.0,634,TX,30.3054,-97.7497,Basic_Parking,7.00397413672268
1.0,2.0,No,Thumbnail,,1246.0,352,TX,30.3054,-97.7497,Low_Amenity,7.1284959456800365
1.0,1.0,No,Thumbnail,,1225.0,620,TX,30.3054,-97.7497,Basic_Parking,7.111512116496157
1.0,1.0,No,Thumbnail,,905.0,600,TX,30.3054,-97.7497,Low_Amenity,6.80903930604298
3.5,3.0,No,Thumbnail,,2050.0,1700,TX,30.5104,-97.9027,Low_Amenity,7.62608275807238
2.0,4.0,No,Thumbnail,Both,1825.0,2239,TX,33.1733,-96.654,Low_Amenity,7.509883061154913
1.0,1.0,No,Thumbnail,,959.0,793,TX,30.3054,-97.7497,Basic_Parking,6.866933284461882
1.0,1.0,No,Thumbnail,,1050.0,700,TX,30.3054,-97.7497,Lifestyle_Recreation,6.957497370876951
1.0,1.0,No,Thumbnail,Both,1039.0,775,TX,30.3054,-97.7497,Basic_Parking,6.946975992135418
2.0,3.0,No,Thumbnail,Both,1599.0,1445,TX,32.5807,-97.138,Low_Amenity,7.3777589082278725
1.0,1.0,No,Thumbnail,Cats,1141.0,596,TX,32.8212,-96.7853,Low_Amenity,7.040536390215956
1.0,1.0,No,Thumbnail,Both,1370.0,820,TX,32.8427,-96.9607,Lifestyle_Recreation,7.223295679562314
1.0,2.0,No,Thumbnail,Both,1061.0,489,TX,32.8212,-96.7853,Basic_Parking,6.967909201801884
2.0,4.0,No,Thumbnail,Both,1899.0,1962,TX,32.5252,-96.8173,Low_Amenity,7.549609165154532
1.0,1.0,No,Thumbnail,Cats,1060.0,1003,TX,29.7714,-95.4343,Higher_Amenities,6.966967138613983
1.0,1.0,No,Thumbnail,Both,1261.0,643,TX,29.7714,-95.4343,Basic_Parking,7.140453043101158
1.0,1.0,No,Thumbnail,Both,932.0,675,TX,29.7714,-95.4343,Basic_Parking,6.838405200847344
3.5,3.0,No,Thumbnail,Both,1900.0,1911,TX,29.7714,-95.4343,Low_Amenity,7.550135342488429
1.0,1.0,No,Thumbnail,Both,1860.0,672,TX,30.3054,-97.7497,Low_Amenity,7.528869256642251
1.0,1.0,No,Thumbnail,,1668.0,592,TX,30.3054,-97.7497,Basic_Parking,7.419979923661835
1.0,1.0,No,Thumbnail,,1176.0,608,TX,30.3054,-97.7497,Lifestyle_Recreation,7.0707241072602764
1.0,1.0,No,Thumbnail,,926.0,481,TX,30.3054,-97.7497,Lifestyle_Recreation,6.831953565565855
1.0,1.0,No,Thumbnail,,1275.0,625,TX,30.3054,-97.7497,Low_Amenity,7.151485463904735
2.0,3.0,No,Thumbnail,,2145.0,1440,TX,30.4433,-97.6282,Basic_Parking,7.671360923190644
1.0,1.0,No,Thumbnail,Both,1735.0,819,TX,30.3054,-97.7497,Basic_Parking,7.459338895220296
1.0,1.0,No,Thumbnail,Both,1686.0,847,TX,32.8212,-96.7853,Low_Amenity,7.430707082545968
2.0,2.0,No,Thumbnail,,1149.0,994,TX,30.3054,-97.7497,Lifestyle_Recreation,7.047517221357296
1.0,1.0,No,Thumbnail,,1000.0,690,TX,30.3054,-97.7497,Family_Oriented,6.90875477931522
1.0,1.0,No,Thumbnail,,895.0,447,TX,30.6505,-97.6809,Basic_Parking,6.79794041297493
1.0,1.0,No,Thumbnail,Both,845.0,476,TX,32.8212,-96.7853,Basic_Parking,6.740519359606223
2.0,3.0,No,Thumbnail,Both,1349.0,1192,TX,29.7714,-95.4343,Low_Amenity,7.2078598714324755
1.0,3.0,No,Thumbnail,,1236.0,615,TX,29.4624,-98.5253,Low_Amenity,7.1204443723924875
1.0,1.0,No,Thumbnail,,1000.0,775,TX,29.4624,-98.5253,Low_Amenity,6.90875477931522
1.0,1.0,No,Thumbnail,Cats,822.0,507,TX,33.5859,-101.8698,Family_Oriented,6.71295620067707
2.0,2.0,No,Thumbnail,Cats,1301.0,980,TX,33.0476,-96.7467,Low_Amenity,7.171656822768514
1.0,1.0,No,Thumbnail,Both,1258.0,689,TX,29.7864,-94.9631,Basic_Parking,7.138073034044347
1.0,1.0,No,Thumbnail,Both,1130.0,638,TX,32.0057,-102.1036,Higher_Amenities,7.030857476116121
1.0,1.0,No,Thumbnail,Cats,819.0,500,TX,32.7407,-97.3394,Low_Amenity,6.709304340258298
1.0,1.0,No,Thumbnail,Cats,674.0,505,TX,29.7714,-95.4343,Low_Amenity,6.51471269087253
2.0,3.0,No,Thumbnail,Both,1449.0,1364,TX,32.5285,-97.3119,Low_Amenity,7.27931883541462
1.0,1.0,No,Thumbnail,Both,848.0,702,TX,29.7714,-95.4343,Basic_Parking,6.744059186311348
1.0,1.0,No,Thumbnail,Cats,1000.0,1017,TX,29.7714,-95.4343,Low_Amenity,6.90875477931522
1.0,1.0,No,Thumbnail,,950.0,722,TX,29.6015,-95.6306,Basic_Parking,6.85751406254539
1.0,1.0,No,Thumbnail,Both,850.0,672,TX,30.3054,-97.7497,Basic_Parking,6.7464121285733745
1.0,2.0,No,Thumbnail,,1399.0,416,TX,30.3054,-97.7497,Lifestyle_Recreation,7.24422751560335
1.0,3.0,No,Thumbnail,,1270.0,599,TX,30.3054,-97.7497,Low_Amenity,7.147559271189454
1.0,2.0,No,Thumbnail,Both,1550.0,825,TX,30.3054,-97.7497,Low_Amenity,7.346655163176539
1.0,1.0,No,Thumbnail,,849.0,597,TX,30.6505,-97.6809,Lifestyle_Recreation,6.745236349484363
1.0,2.0,No,Thumbnail,,1399.0,529,TX,30.3054,-97.7497,Low_Amenity,7.24422751560335
1.0,2.0,No,Thumbnail,,1157.0,980,TX,30.3054,-97.7497,Low_Amenity,7.05444965813294
1.0,1.0,No,Thumbnail,,1150.0,581,TX,30.3054,-97.7497,Lifestyle_Recreation,7.048386408721883
1.0,1.0,No,Thumbnail,,899.0,620,TX,30.3054,-97.7497,Low_Amenity,6.802394763324311
1.0,1.0,No,Thumbnail,,999.0,547,TX,30.3054,-97.7497,Basic_Parking,6.907755278982137
1.0,1.0,No,Thumbnail,Both,755.0,566,TX,29.7714,-95.4343,Low_Amenity,6.628041376179533
1.0,1.0,No,Thumbnail,Both,1170.0,587,TX,29.4624,-98.5253,Basic_Parking,7.065613363597717
1.0,1.0,No,Thumbnail,,850.0,520,TX,30.3054,-97.7497,Basic_Parking,6.7464121285733745
1.0,1.0,No,Thumbnail,,955.0,484,TX,30.3054,-97.7497,Basic_Parking,6.862757913051401
1.0,1.0,No,Thumbnail,,1195.0,550,TX,30.3054,-97.7497,Basic_Parking,7.086737934510577
1.0,1.0,No,Thumbnail,Both,965.0,613,TX,29.4624,-98.5253,Basic_Parking,6.873163834212518
1.0,1.0,No,Thumbnail,Both,1265.0,903,TX,30.3054,-97.7497,Basic_Parking,7.143617602704121
1.0,1.0,No,Thumbnail,,1565.0,760,TX,31.8666,-102.3901,Basic_Parking,7.356279876550748
1.0,1.0,No,Thumbnail,Cats,1576.0,747,TX,32.8212,-96.7853,Low_Amenity,7.3632795869630385
1.0,1.0,No,Thumbnail,Both,877.0,759,TX,29.5677,-95.521,Low_Amenity,6.777646593635117
2.0,3.0,No,Thumbnail,Both,1399.0,1345,TX,32.7835,-96.6121,Low_Amenity,7.24422751560335
2.0,3.0,No,Thumbnail,Both,1449.0,1767,TX,30.0871,-95.4685,Low_Amenity,7.27931883541462
2.0,3.0,No,Thumbnail,Both,1325.0,1440,TX,29.7714,-95.4343,Low_Amenity,7.189922170745808
1.0,1.0,No,Thumbnail,Both,904.0,729,TX,29.6015,-95.6306,Lifestyle_Recreation,6.807934943699926
1.0,1.0,No,Thumbnail,Both,710.0,646,TX,29.4624,-98.5253,Low_Amenity,6.566672429803241
1.0,1.0,No,Thumbnail,,974.0,516,TX,30.3315,-97.6645,Basic_Parking,6.882437470997847
1.0,1.0,No,Thumbnail,,1130.0,516,TX,30.3054,-97.7497,Lifestyle_Recreation,7.030857476116121
1.0,1.0,No,Thumbnail,,859.0,533,TX,30.3054,-97.7497,Low_Amenity,6.756932389247553
1.0,2.0,No,Thumbnail,,1040.0,400,TX,30.3054,-97.7497,Lifestyle_Recreation,6.947937068614969
1.0,1.0,No,Thumbnail,,980.0,527,TX,30.3054,-97.7497,Lifestyle_Recreation,6.8885724595653635
1.0,1.0,No,Thumbnail,,888.0,495,TX,30.3054,-97.7497,Low_Amenity,6.790097235513905
1.0,1.0,No,Thumbnail,,1084.0,526,TX,30.3054,-97.7497,Basic_Parking,6.98933526597456
1.0,1.0,No,Thumbnail,,883.0,542,TX,30.3054,-97.7497,Lifestyle_Recreation,6.784457062637643
1.0,1.0,No,Thumbnail,,1461.0,740,TX,30.2989,-97.7079,Low_Amenity,7.2875606403097235
1.0,1.0,No,Thumbnail,,993.0,648,TX,30.3054,-97.7497,Basic_Parking,6.901737206656574
1.0,1.0,No,Thumbnail,,1135.0,672,TX,30.3054,-97.7497,Family_Oriented,7.035268599281097
1.0,1.0,No,Thumbnail,,1415.0,668,TX,30.3054,-97.7497,Higher_Amenities,7.255591274253665
1.0,1.0,No,Thumbnail,,1293.0,651,TX,30.3054,-97.7497,Basic_Parking,7.165493475060845
1.0,1.0,No,Thumbnail,Both,2255.0,1073,TX,32.8212,-96.7853,Low_Amenity,7.721348612617949
1.0,1.0,No,Thumbnail,Both,1230.0,592,TX,29.4624,-98.5253,Basic_Parking,7.115582126184454
1.0,1.0,No,Thumbnail,Both,1686.0,612,TX,30.3054,-97.7497,Basic_Parking,7.430707082545968
1.0,1.0,No,Thumbnail,Both,1030.0,527,TX,30.3054,-97.7497,Basic_Parking,6.93828448401696
1.0,1.0,No,Thumbnail,,1010.0,659,TX,30.6505,-97.6809,Basic_Parking,6.918695219020472
1.0,1.0,No,Thumbnail,,1260.0,597,TX,30.3054,-97.7497,Low_Amenity,7.13966033596492
1.0,2.0,No,Thumbnail,,850.0,513,TX,30.3054,-97.7497,Low_Amenity,6.7464121285733745
1.0,1.0,No,Thumbnail,Both,1665.0,678,TX,32.8212,-96.7853,Low_Amenity,7.418180822726788
2.0,2.0,No,Thumbnail,Both,1149.0,868,TX,30.5118,-97.6873,Low_Amenity,7.047517221357296
1.0,2.0,No,Thumbnail,,1233.0,535,TX,30.3054,-97.7497,Lifestyle_Recreation,7.1180162044653335
2.0,3.0,No,Thumbnail,Both,1549.0,1762,TX,30.0021,-95.2555,Low_Amenity,7.346010209913293
1.0,1.0,No,Thumbnail,Both,959.0,561,TX,32.8212,-96.7853,Family_Oriented,6.866933284461882
1.0,1.0,No,Thumbnail,Both,1033.0,651,TX,32.8212,-96.7853,Family_Oriented,6.9411900550683745
1.0,1.0,No,Thumbnail,Both,850.0,420,TX,32.8212,-96.7853,Family_Oriented,6.7464121285733745
1.0,1.0,No,Thumbnail,Both,1273.0,788,TX,29.7714,-95.4343,Low_Amenity,7.149916836132109
1.0,1.0,No,Thumbnail,Both,928.0,722,TX,32.8582,-97.2357,Low_Amenity,6.834108738813838
2.0,4.0,No,Thumbnail,Both,1749.0,2673,TX,29.5884,-95.7531,Low_Amenity,7.4673710669175595
2.0,3.0,No,Thumbnail,Both,1549.0,1806,TX,29.925,-95.0704,Low_Amenity,7.346010209913293
2.0,3.0,No,Thumbnail,Both,1399.0,1520,TX,29.7714,-95.4343,Low_Amenity,7.24422751560335
1.0,1.0,No,Thumbnail,,1225.0,776,TX,29.4624,-98.5253,Low_Amenity,7.111512116496157
1.0,1.0,No,Thumbnail,,805.0,686,TX,29.7714,-95.4343,Basic_Parking,6.692083742506628
1.0,1.0,No,Thumbnail,Both,1019.0,777,TX,29.7714,-95.4343,Lifestyle_Recreation,6.927557906278317
1.0,1.0,No,Thumbnail,Both,919.0,635,TX,29.7714,-95.4343,Basic_Parking,6.824373670043086
1.0,1.0,No,Thumbnail,Both,1185.0,650,TX,29.7714,-95.4343,Low_Amenity,7.078341579557671
2.0,3.0,No,Thumbnail,Both,1795.0,1895,TX,32.9079,-96.5532,Low_Amenity,7.493317248862145
1.0,1.0,No,Thumbnail,Both,969.0,668,TX,33.1993,-97.1268,Basic_Parking,6.877296071497429
1.0,1.0,No,Thumbnail,Both,985.0,692,TX,30.3054,-97.7497,Low_Amenity,6.893656354602635
2.0,2.0,No,Thumbnail,,1500.0,1144,TX,32.8212,-96.7853,Basic_Parking,7.313886831633462
,1.0,No,Thumbnail,Both,565.0,725,TX,33.8994,-98.528,Low_Amenity,6.338594078203183
1.0,1.0,No,Thumbnail,,1075.0,700,TX,30.3054,-97.7497,Higher_Amenities,6.98100574072173
1.0,1.0,No,Thumbnail,,1750.0,588,TX,30.3054,-97.7497,Lifestyle_Recreation,7.467942332285852
1.0,1.0,No,Thumbnail,,830.0,520,TX,30.3054,-97.7497,Low_Amenity,6.7226297948554485
1.0,2.0,No,Thumbnail,,989.0,441,TX,30.5118,-97.6873,Lifestyle_Recreation,6.897704943128636
1.0,1.0,No,Thumbnail,,1020.0,570,TX,30.3054,-97.7497,Basic_Parking,6.928537818164665
1.0,1.0,No,Thumbnail,,1465.0,846,TX,30.3054,-97.7497,Basic_Parking,7.290292882446597
1.0,2.0,No,Thumbnail,,1299.0,611,TX,30.3054,-97.7497,Low_Amenity,7.170119543449628
1.0,1.0,No,Thumbnail,,1030.0,657,TX,30.3054,-97.7497,Lifestyle_Recreation,6.93828448401696
1.0,1.0,No,Thumbnail,,1328.0,572,TX,30.3054,-97.7497,Low_Amenity,7.192182058713246
1.0,1.0,No,Thumbnail,,850.0,518,TX,30.3054,-97.7497,Basic_Parking,6.7464121285733745
1.0,1.0,No,Thumbnail,,1455.0,640,TX,30.3054,-97.7497,Low_Amenity,7.283448228756631
1.0,1.0,No,Thumbnail,Both,2145.0,804,TX,32.8212,-96.7853,Low_Amenity,7.671360923190644
1.0,1.0,No,Thumbnail,Both,1395.0,672,TX,32.8212,-96.7853,Low_Amenity,7.241366283322318
1.0,1.0,No,Thumbnail,,1000.0,705,TX,30.3054,-97.7497,Low_Amenity,6.90875477931522
1.0,1.0,No,Thumbnail,,1421.0,780,TX,30.3054,-97.7497,Basic_Parking,7.259819610363186
1.0,1.0,No,Thumbnail,,820.0,563,TX,30.3054,-97.7497,Basic_Parking,6.710523109452428
1.0,1.0,No,Thumbnail,Both,1220.0,675,TX,29.4624,-98.5253,Basic_Parking,7.107425474110705
1.0,2.0,No,Thumbnail,,870.0,422,TX,30.3054,-97.7497,Low_Amenity,6.769641976852503
1.0,1.0,No,Thumbnail,,1050.0,396,TX,30.3054,-97.7497,Low_Amenity,6.957497370876951
1.0,1.0,No,Thumbnail,Both,975.0,649,TX,32.8212,-96.7853,Low_Amenity,6.883462586413092
2.0,3.0,No,Thumbnail,Dogs,1730.0,1685,TX,32.7025,-97.1196,Low_Amenity,7.456454555176209
